state,total_registered,prop_asian,vpi,s,state_name,pct_asian
ALABAMA,2526.0,0.0011876484560570072,0.0180886,126.3,Alabama,0.11876484560570072
ALASKA,358.0,0.025139664804469275,0.7980471,17.9,Alaska,2.5139664804469275
ARIZONA,3145.0,0.021939586645468998,2.989759,157.25,Arizona,2.1939586645469
ARKANSAS,1456.0,0.004120879120879121,0.0122756,72.8,Arkansas,0.4120879120879121
CALIFORNIA,16096.0,0.12922465208747516,0.024354900000000002,804.8,California,12.922465208747516
COLORADO,2893.0,0.013480815762184583,0.7509561,144.65,Colorado,1.3480815762184584
CONNECTICUT,1763.0,0.01758366420873511,0.0291267,88.15,Connecticut,1.7583664208735112
DELAWARE,487.0,0.024640657084188913,0.0,24.35,Delaware,2.4640657084188913
DISTRICT OF COLUMBIA,420.0,0.03333333333333333,0.0,21.0,District Of Columbia,3.3333333333333335
FLORIDA,9604.0,0.019991670137442734,1.5234370000000002,480.2,Florida,1.9991670137442734
GEORGIA,4892.0,0.02064595257563369,1.048753,244.6,Georgia,2.064595257563369
HAWAII,530.0,0.3886792452830189,0.15296579999999999,26.5,Hawaii,38.86792452830189
IDAHO,790.0,0.008860759493670886,0.0043285,39.5,Idaho,0.8860759493670887
ILLINOIS,6665.0,0.034658664666166544,0.017822499999999998,333.25,Illinois,3.4658664666166543
INDIANA,3298.0,0.016676773802304427,0.0196643,164.9,Indiana,1.6676773802304428
IOWA,1657.0,0.009052504526252263,1.0159200000000002,82.85,Iowa,0.9052504526252263
KANSAS,1438.0,0.01043115438108484,0.017957900000000002,71.9,Kansas,1.043115438108484
KENTUCKY,2253.0,0.0013315579227696406,0.0105345,112.65,Kentucky,0.13315579227696406
LOUISIANA,2446.0,0.01062959934587081,0.0627754,122.3,Louisiana,1.062959934587081
MAINE,830.0,0.007228915662650603,0.9887144,41.5,Maine,0.7228915662650602
MARYLAND,3114.0,0.04720616570327553,0.0110507,155.7,Maryland,4.720616570327553
MASSACHUSETTS,3660.0,0.034972677595628415,0.008165899999999999,183.0,Massachusetts,3.4972677595628414
ME-1,423.599,0.01168321927105588,0.126397,21.179949999999998,ME-1,1.168321927105588
ME-2,406.401,0.005561009938459796,1.7452599999999998,20.320050000000002,ME-2,0.5561009938459797
MICHIGAN,5434.0,0.01159366948840633,2.399994,271.7,Michigan,1.159366948840633
MINNESOTA,3055.0,0.02585924713584288,2.107355,152.75,Minnesota,2.585924713584288
MISSISSIPPI,1725.0,0.00463768115942029,0.20236629999999997,86.25,Mississippi,0.463768115942029
MISSOURI,3333.0,0.0063006300630063005,0.022533599999999997,166.65,Missouri,0.6300630063006301
MONTANA,581.0,0.0051635111876075735,0.27995570000000003,29.05,Montana,0.5163511187607573
NE-1,344.986,0.018725397552364444,0.055132299999999995,17.249299999999998,NE-1,1.8725397552364444
NE-2,343.047,0.02479252114141794,5.171942,17.152350000000002,NE-2,2.479252114141794
NE-3,319.967,0.005103651314041761,0.0,15.998349999999999,NE-3,0.5103651314041762
NEBRASKA,1008.0,0.011904761904761904,0.0023303,50.4,Nebraska,1.1904761904761905
NEVADA,1371.0,0.06637490882567469,3.068934,68.55,Nevada,6.637490882567469
NEW HAMPSHIRE,763.0,0.011795543905635648,2.366268,38.15,New Hampshire,1.1795543905635648
NEW JERSEY,4165.0,0.05282112845138055,0.1957304,208.25,New Jersey,5.282112845138055
NEW MEXICO,916.0,0.017467248908296942,2.083771,45.8,New Mexico,1.7467248908296942
NEW YORK,9142.0,0.04703565959308685,0.0013957000000000002,457.1,New York,4.703565959308685
NORTH CAROLINA,5194.0,0.029072006160954948,1.554517,259.7,North Carolina,2.9072006160954946
NORTH DAKOTA,424.0,0.0047169811320754715,0.0260015,21.2,North Dakota,0.4716981132075472
OHIO,6128.0,0.010117493472584857,0.3574389,306.4,Ohio,1.0117493472584858
OKLAHOMA,1861.0,0.019881783987103708,0.0030325,93.05,Oklahoma,1.9881783987103707
OREGON,2147.0,0.024685607824871916,0.2341859,107.35,Oregon,2.4685607824871916
PENNSYLVANIA,6909.0,0.01997394702561876,8.702174000000001,345.45,Pennsylvania,1.997394702561876
RHODE ISLAND,538.0,0.016728624535315983,0.04267580000000001,26.9,Rhode Island,1.6728624535315983
SOUTH CAROLINA,2575.0,0.013592233009708738,0.06754160000000001,128.75,South Carolina,1.3592233009708738
SOUTH DAKOTA,437.0,0.0,0.138324,21.85,South Dakota,0.0
TENNESSEE,3251.0,0.012919101814826207,0.036686300000000005,162.55,Tennessee,1.2919101814826206
TEXAS,11724.0,0.03565336062777209,0.22159600000000002,586.2,Texas,3.5653360627772095
UTAH,1398.0,0.013590844062947067,0.1065488,69.9,Utah,1.3590844062947067
VERMONT,351.0,0.011396011396011397,0.13793270000000002,17.55,Vermont,1.1396011396011396
VIRGINIA,4399.0,0.049784041827688114,0.36455820000000005,219.95,Virginia,4.978404182768811
WASHINGTON,3906.0,0.04864311315924219,0.0921338,195.3,Washington,4.864311315924219
WEST VIRGINIA,913.0,0.004381161007667032,0.0301548,45.65,West Virginia,0.43811610076670315
WISCONSIN,3323.0,0.01504664459825459,3.132759,166.15,Wisconsin,1.504664459825459
WYOMING,304.0,0.009868421052631578,0.0,15.2,Wyoming,0.9868421052631579
