state,total_registered,prop_hispanic,vpi,s,state_name,pct_hispanic
ALABAMA,2526.0,0.012668250197941409,0.0180886,126.3,Alabama,1.2668250197941409
ALASKA,358.0,0.04748603351955307,0.7980471,17.9,Alaska,4.748603351955307
ARIZONA,3145.0,0.20794912559618442,2.989759,157.25,Arizona,20.794912559618442
ARKANSAS,1456.0,0.019917582417582416,0.0122756,72.8,Arkansas,1.9917582417582416
CALIFORNIA,16096.0,0.2411779324055666,0.024354900000000002,804.8,California,24.117793240556658
COLORADO,2893.0,0.09402004839267197,0.7509561,144.65,Colorado,9.402004839267198
CONNECTICUT,1763.0,0.08564946114577425,0.0291267,88.15,Connecticut,8.564946114577426
DELAWARE,487.0,0.039014373716632446,0.0,24.35,Delaware,3.9014373716632447
DISTRICT OF COLUMBIA,420.0,0.047619047619047616,0.0,21.0,District Of Columbia,4.761904761904762
FLORIDA,9604.0,0.18523531861724282,1.5234370000000002,480.2,Florida,18.523531861724283
GEORGIA,4892.0,0.03434178250204415,1.048753,244.6,Georgia,3.434178250204415
HAWAII,530.0,0.08113207547169811,0.15296579999999999,26.5,Hawaii,8.11320754716981
IDAHO,790.0,0.06962025316455696,0.0043285,39.5,Idaho,6.962025316455696
ILLINOIS,6665.0,0.09512378094523631,0.017822499999999998,333.25,Illinois,9.512378094523632
INDIANA,3298.0,0.020921770770163734,0.0196643,164.9,Indiana,2.0921770770163732
IOWA,1657.0,0.017501508750754374,1.0159200000000002,82.85,Iowa,1.7501508750754375
KANSAS,1438.0,0.05285118219749652,0.017957900000000002,71.9,Kansas,5.285118219749652
KENTUCKY,2253.0,0.019529516200621395,0.0105345,112.65,Kentucky,1.9529516200621395
LOUISIANA,2446.0,0.040474243663123466,0.0627754,122.3,Louisiana,4.047424366312347
MAINE,830.0,0.008433734939759036,0.9887144,41.5,Maine,0.8433734939759037
MARYLAND,3114.0,0.054592164418754016,0.0110507,155.7,Maryland,5.459216441875402
MASSACHUSETTS,3660.0,0.05437158469945355,0.008165899999999999,183.0,Massachusetts,5.437158469945355
ME-1,423.599,0.015056692768396527,0.126397,21.179949999999998,ME-1,1.5056692768396527
ME-2,406.401,0.012347410562474008,1.7452599999999998,20.320050000000002,ME-2,1.2347410562474008
MICHIGAN,5434.0,0.018586676481413322,2.399994,271.7,Michigan,1.8586676481413322
MINNESOTA,3055.0,0.0176759410801964,2.107355,152.75,Minnesota,1.7675941080196398
MISSISSIPPI,1725.0,0.010434782608695653,0.20236629999999997,86.25,Mississippi,1.0434782608695654
MISSOURI,3333.0,0.0177017701770177,0.022533599999999997,166.65,Missouri,1.7701770177017702
MONTANA,581.0,0.020654044750430294,0.27995570000000003,29.05,Montana,2.0654044750430294
NE-1,344.986,0.0611590035537674,0.055132299999999995,17.249299999999998,NE-1,6.11590035537674
NE-2,343.047,0.06437893349890832,5.171942,17.152350000000002,NE-2,6.437893349890832
NE-3,319.967,0.07513274806464416,0.0,15.998349999999999,NE-3,7.513274806464416
NEBRASKA,1008.0,0.04662698412698413,0.0023303,50.4,Nebraska,4.662698412698413
NEVADA,1371.0,0.17067833698030635,3.068934,68.55,Nevada,17.067833698030636
NEW HAMPSHIRE,763.0,0.011795543905635648,2.366268,38.15,New Hampshire,1.1795543905635648
NEW JERSEY,4165.0,0.11668667466986794,0.1957304,208.25,New Jersey,11.668667466986795
NEW MEXICO,916.0,0.37117903930131,2.083771,45.8,New Mexico,37.117903930131
NEW YORK,9142.0,0.11419820608182017,0.0013957000000000002,457.1,New York,11.419820608182016
NORTH CAROLINA,5194.0,0.040046207162110124,1.554517,259.7,North Carolina,4.004620716211012
NORTH DAKOTA,424.0,0.01179245283018868,0.0260015,21.2,North Dakota,1.179245283018868
OHIO,6128.0,0.01941906005221932,0.3574389,306.4,Ohio,1.9419060052219321
OKLAHOMA,1861.0,0.03653949489521763,0.0030325,93.05,Oklahoma,3.6539494895217626
OREGON,2147.0,0.06613879832324174,0.2341859,107.35,Oregon,6.613879832324174
PENNSYLVANIA,6909.0,0.04038211029092488,8.702174000000001,345.45,Pennsylvania,4.038211029092488
RHODE ISLAND,538.0,0.12453531598513011,0.04267580000000001,26.9,Rhode Island,12.453531598513012
SOUTH CAROLINA,2575.0,0.015145631067961166,0.06754160000000001,128.75,South Carolina,1.5145631067961165
SOUTH DAKOTA,437.0,0.018306636155606407,0.138324,21.85,South Dakota,1.8306636155606408
TENNESSEE,3251.0,0.012303906490310674,0.036686300000000005,162.55,Tennessee,1.2303906490310674
TEXAS,11724.0,0.22637325145001705,0.22159600000000002,586.2,Texas,22.637325145001704
UTAH,1398.0,0.06723891273247497,0.1065488,69.9,Utah,6.723891273247497
VERMONT,351.0,0.008547008547008548,0.13793270000000002,17.55,Vermont,0.8547008547008548
VIRGINIA,4399.0,0.0545578540577404,0.36455820000000005,219.95,Virginia,5.45578540577404
WASHINGTON,3906.0,0.07475678443420379,0.0921338,195.3,Washington,7.475678443420379
WEST VIRGINIA,913.0,0.004381161007667032,0.0301548,45.65,West Virginia,0.43811610076670315
WISCONSIN,3323.0,0.04092687330725248,3.132759,166.15,Wisconsin,4.092687330725249
WYOMING,304.0,0.049342105263157895,0.0,15.2,Wyoming,4.934210526315789
