state,total_registered,prop_white,vpi,s,state_name,pct_white
ALABAMA,2526.0,0.6896278701504355,0.0180886,126.3,Alabama,68.96278701504355
ALASKA,358.0,0.7039106145251397,0.7980471,17.9,Alaska,70.39106145251397
ARIZONA,3145.0,0.6820349761526232,2.989759,157.25,Arizona,68.20349761526232
ARKANSAS,1456.0,0.8008241758241759,0.0122756,72.8,Arkansas,80.08241758241759
CALIFORNIA,16096.0,0.5424950298210736,0.024354900000000002,804.8,California,54.24950298210736
COLORADO,2893.0,0.8368475630833045,0.7509561,144.65,Colorado,83.68475630833045
CONNECTICUT,1763.0,0.8094157685762904,0.0291267,88.15,Connecticut,80.94157685762904
DELAWARE,487.0,0.7392197125256673,0.0,24.35,Delaware,73.92197125256673
DISTRICT OF COLUMBIA,420.0,0.4642857142857143,0.0,21.0,District Of Columbia,46.42857142857143
FLORIDA,9604.0,0.6697209496043315,1.5234370000000002,480.2,Florida,66.97209496043315
GEORGIA,4892.0,0.6189697465249386,1.048753,244.6,Georgia,61.89697465249387
HAWAII,530.0,0.26037735849056604,0.15296579999999999,26.5,Hawaii,26.037735849056602
IDAHO,790.0,0.9,0.0043285,39.5,Idaho,90.0
ILLINOIS,6665.0,0.7260315078769692,0.017822499999999998,333.25,Illinois,72.60315078769692
INDIANA,3298.0,0.8587022437841115,0.0196643,164.9,Indiana,85.87022437841115
IOWA,1657.0,0.9402534701267351,1.0159200000000002,82.85,Iowa,94.0253470126735
KANSAS,1438.0,0.8650904033379694,0.017957900000000002,71.9,Kansas,86.50904033379693
KENTUCKY,2253.0,0.8868175765645806,0.0105345,112.65,Kentucky,88.68175765645806
LOUISIANA,2446.0,0.6365494685200327,0.0627754,122.3,Louisiana,63.65494685200327
MAINE,830.0,0.946987951807229,0.9887144,41.5,Maine,94.6987951807229
MARYLAND,3114.0,0.5873474630700064,0.0110507,155.7,Maryland,58.73474630700064
MASSACHUSETTS,3660.0,0.840983606557377,0.008165899999999999,183.0,Massachusetts,84.09836065573771
ME-1,423.599,0.945708087129573,0.126397,21.179949999999998,ME-1,94.5708087129573
ME-2,406.401,0.9488928422912344,1.7452599999999998,20.320050000000002,ME-2,94.88928422912343
MICHIGAN,5434.0,0.8277511961722488,2.399994,271.7,Michigan,82.77511961722487
MINNESOTA,3055.0,0.8772504091653028,2.107355,152.75,Minnesota,87.72504091653029
MISSISSIPPI,1725.0,0.6121739130434782,0.20236629999999997,86.25,Mississippi,61.21739130434782
MISSOURI,3333.0,0.8496849684968497,0.022533599999999997,166.65,Missouri,84.96849684968497
MONTANA,581.0,0.9156626506024096,0.27995570000000003,29.05,Montana,91.56626506024097
NE-1,344.986,0.8690207718574088,0.055132299999999995,17.249299999999998,NE-1,86.90207718574088
NE-2,343.047,0.8016744061309383,5.171942,17.152350000000002,NE-2,80.16744061309383
NE-3,319.967,0.8910731419177602,0.0,15.998349999999999,NE-3,89.10731419177603
NEBRASKA,1008.0,0.875,0.0023303,50.4,Nebraska,87.5
NEVADA,1371.0,0.6411378555798687,3.068934,68.55,Nevada,64.11378555798687
NEW HAMPSHIRE,763.0,0.9606815203145478,2.366268,38.15,New Hampshire,96.06815203145477
NEW JERSEY,4165.0,0.704201680672269,0.1957304,208.25,New Jersey,70.4201680672269
NEW MEXICO,916.0,0.4585152838427948,2.083771,45.8,New Mexico,45.851528384279476
NEW YORK,9142.0,0.685189236490921,0.0013957000000000002,457.1,New York,68.5189236490921
NORTH CAROLINA,5194.0,0.6921447824412784,1.554517,259.7,North Carolina,69.21447824412785
NORTH DAKOTA,424.0,0.9410377358490566,0.0260015,21.2,North Dakota,94.10377358490565
OHIO,6128.0,0.8356723237597912,0.3574389,306.4,Ohio,83.56723237597912
OKLAHOMA,1861.0,0.7608812466415905,0.0030325,93.05,Oklahoma,76.08812466415905
OREGON,2147.0,0.8551467163483931,0.2341859,107.35,Oregon,85.51467163483932
PENNSYLVANIA,6909.0,0.8273266753509915,8.702174000000001,345.45,Pennsylvania,82.73266753509915
RHODE ISLAND,538.0,0.775092936802974,0.04267580000000001,26.9,Rhode Island,77.5092936802974
SOUTH CAROLINA,2575.0,0.6741747572815534,0.06754160000000001,128.75,South Carolina,67.41747572815534
SOUTH DAKOTA,437.0,0.919908466819222,0.138324,21.85,South Dakota,91.9908466819222
TENNESSEE,3251.0,0.8000615195324515,0.036686300000000005,162.55,Tennessee,80.00615195324515
TEXAS,11724.0,0.5818833162743091,0.22159600000000002,586.2,Texas,58.18833162743091
UTAH,1398.0,0.9048640915593705,0.1065488,69.9,Utah,90.48640915593705
VERMONT,351.0,0.9572649572649573,0.13793270000000002,17.55,Vermont,95.72649572649573
VIRGINIA,4399.0,0.6840190952489202,0.36455820000000005,219.95,Virginia,68.40190952489202
WASHINGTON,3906.0,0.8100358422939068,0.0921338,195.3,Washington,81.00358422939068
WEST VIRGINIA,913.0,0.9419496166484118,0.0301548,45.65,West Virginia,94.19496166484119
WISCONSIN,3323.0,0.9055070719229612,3.132759,166.15,Wisconsin,90.55070719229612
WYOMING,304.0,0.8881578947368421,0.0,15.2,Wyoming,88.81578947368422
